name,category,cell_id,position_x,position_y,position_z
"Insatiable Vault (125+)",dungeon,0x00960321,70,-40,0.005
"Ishaq's Cellar (80+)",dungeon,0x02EA017D,0.449236,-37.2334,6.005
"Ispar Yard",housing,0x8E000161,83.74,-93.75,0
"Ivory Gate",housing,0x79000161,83.74,-93.75,0
"Jade Gate",housing,0x8D000161,83.74,-93.75,0
"Jahannan Vault",dungeon,0x011B014B,80,-57.35,-65.99
"Jojii Gardens",housing,0x88000161,83.74,-93.75,0
"Judging Station",dungeon,0x02E3015A,60.4,-55.6,12.1
"Jungle Shadows",dungeon,0x02BB0197,108.385,-88.606,24
"Khayyaban Meeting Hall",dungeon,0x01260126,30,-60,6
"Killagurg",dungeon,0x00B6010E,30,-192.812,-12
"Knath Lair",dungeon,0x0193012A,40,-10,0
"Kor-Gursha",dungeon,0x009C0247,160,-70,-17.995
"Krau Li's Labyrinth (25+)",dungeon,0x02E5024A,110,-240,0
"Laboratory",dungeon,0x594F0277,79.7348,-119.984,0.005
"Labyrinth",dungeon,0x54630328,150,-70,0
"Lair of Death (15+)",dungeon,0x01AA01EC,20,-50,0.005
"Lair of the Ancient Queen",dungeon,0x614A046E,90,-120,0.005
"Lair of the Eviscerators (50+)",dungeon,0x027D02AA,120,-20,0
"Lakeside Lair",dungeon,0x01AF012C,60,-40,0
"Land Bridge Staging Complex (32+)",dungeon,0x029802A5,200,-10,12
"Large Mnemosyne Collection Site",dungeon,0x029D010C,100,0,0
"Larkspur Gardens",housing,0x73000161,83.74,-93.75,0
"Legend of the Tusker King",dungeon,0x5F4301D6,20.1621,-85.912,0.005
"Lightless Catacombs",dungeon,0x019B0161,60,-50,0
"Lightless Tunnels",dungeon,0x02C60200,60,-60,-6
"Lightning Guardian Lair (80-149)",dungeon,0x5A43014A,47.953,-2.5,6.005
"Lightning Ziggurat (20-39)",dungeon,0x57460104,20,-20,0.005
"Lin Meeting Hall",dungeon,0x01270126,30,-60,6
"Linvak Tukal Entryway",dungeon,0x029C010C,10,-300,0
"Lola's Den (0x01EB010D)",dungeon,0x01EB010D,119.995,-40.0684,-65.995
"Lola's Den (0x01EB0118)",dungeon,0x01EB0118,150,0,-65.995
"Lola's Den (0x01EB0124)",dungeon,0x01EB0124,179.978,-5.99679,-65.995
"Lola's Den (0x01EB0135)",dungeon,0x01EB0135,220,-34.7275,-65.995
"Lonely Fortress",dungeon,0x00A50108,110,-400,-59.99
"Lost City of Frore",dungeon,0x01380180,40,-280,-6
"Lost Coastal Archive",dungeon,0x003501E5,220,-10,0.006
"Lost Desert Archive",dungeon,0x0036013C,0,-10,0
"Lost Distillery",dungeon,0x016401F1,115.522,-77.617,0
"Lost Garden Ruins",dungeon,0x01B102BD,39.52,-8,6
"Lost Ruins (150+)",dungeon,0x5765036C,20,-56.6975,0.005
"Lower Chakron Flux",dungeon,0x02AF0345,170,0,0
"Lower Corridor",dungeon,0x614402AD,136.937,-129.667,-52.509
"Lower Empyrean Acid Cistern",dungeon,0x526D0251,150,-120,0
"Lower Empyrean Fire Cistern",dungeon,0x526F01FD,60,-126,0
"Lower Empyrean Ice Cistern",dungeon,0x527101FD,60,-126,0
"Lower Empyrean Lightning Cistern",dungeon,0x52730254,100,-140,0
"Lower Empyrean Mausoleum",dungeon,0x02AC02EF,640.2,-140.5,0
"Lower Heart of Darkness",dungeon,0x02B201FB,170,-210,6
"Lower Shade Stronghold",dungeon,0x02B10138,220,-150,-240
"Lugian Excavations",dungeon,0x02E70285,10,-550,18
"Lugian Ice Tunnels (80+)",dungeon,0x001C0105,0,-64,0.005
"Lugian Mines",dungeon,0x02E9020C,150,-20,0
"Lugian Outpost",dungeon,0x01C70121,39.73,-49.79,0
"Lugian Post",dungeon,0x01C80111,20,-60,0
"Lugian Quarry",dungeon,0x02E80232,80,-530,0
"Lytaway",dungeon,0x015801BC,30,-10,42
"Lytelthorpe Meeting Hall",dungeon,0x01280126,30,-60,6
"Mage Academy (150+)",dungeon,0x01390396,40,-60,6
"Magical",dungeon,0x015D0187,199.84,-75.84,-5.99
"Mainland",dungeon,0xBA110101,86,36,118
"Malignant Tabernacle (40+)",dungeon,0x536C0280,70,-60,0
"Mammet Foundry",dungeon,0x5458025F,10,-110,6.005
"Mannikin Foundry",dungeon,0x545A013C,10,-50,6.005
"Mansion Dungeon",dungeon,0x5651038E,77.3194,-140.167,-5.995
"Marauder's Lair",dungeon,0x0197035D,327.517,-163.124,0.005
"Marin Court",housing,0x536301D9,83.74,-93.75,0
"Martinate Holding",dungeon,0x027E0104,120,-20,-12
"Martine's Retreat",dungeon,0x56600187,149.882,-10.7176,0
"Maru Veranda",housing,0x7D000161,83.74,-93.75,0
"Mask Clan Training Camp",dungeon,0x56440103,1.14627,-69.928,-41.995
"Masked Preface (180+)",dungeon,0x586C0406,190,-390,0.055
"Massilor's Crypt (180+)",dungeon,0x472D0107,282,199,-25.6
"Master Alizari's Dig (40-59)",dungeon,0x004002E0,40,-10,0.005
"Master Vaserio's Dig (100+)",dungeon,0x0043031D,250,-32,0.005
"Master's Quarters",dungeon,0x586A0157,300,-40,0.055
"Matron Hive East (120+)",dungeon,0x6146036E,140.042,-182.837,0.005
"Matron Hive North (60+)",dungeon,0x6347036E,140.042,-182.837,0.005
"Matron Hive South (40+)",dungeon,0x6346036E,140.042,-182.837,0.005
"Matron Hive West (90+)",dungeon,0x6145036E,140.042,-182.837,0.005
"Mattekar Cave",dungeon,0x01690183,110.2,-8.3,0
"Mayoi Meeting Hall",dungeon,0x01290126,30,-60,6
"Meditation Gardens",housing,0x95000161,83.74,-93.75,0
"Mellas Court",housing,0x74000161,83.74,-93.75,0
"Mines of Despair",dungeon,0x01880307,30,-70,0
"Mistress Gabille's Dig (80-99)",dungeon,0x00420292,320,-10,0.005
"Mistress Halmera's Dig (60-79)",dungeon,0x00410160,160,-10,0.005
"Mite Maze",dungeon,0x01F801D4,6.1,-101.6,0
"Mite Tunnels",dungeon,0x01A401E6,30,-120,0
"Mnemosyne Collection Site",dungeon,0x029D0100,0,0,0
"Moars",dungeon,0x02BA01F8,120,-70,0
"Moars Laboratory",dungeon,0x02B301F6,92.5088,-41.736,24.005
"Moarsmen Hideout",dungeon,0x02C4023F,90,-10,6.005
"Moarsmen Muck",dungeon,0x02C201E6,80,-60,0.005
"Moarsmen Priory",dungeon,0x00DC016C,0,-55.0173,-5.995
"Moarsmen Spawning Grounds",dungeon,0x02B502C1,120,-260,0.005
"Moist Hovel",dungeon,0x02B90185,100.213,-1.54058,0.005
"Moss Chamber (0x02A3)",dungeon,0x02A30101,0,-10,0
"Moss Chamber (Zaikhal)",dungeon,0x01DB01DC,60,-60,0
"Mosswart Maze",dungeon,0x02CA0247,130,-220,0
"Mosswart Nest",dungeon,0x02BC0145,110,-60,0
"Mosswart Worship Cavern (80+)",dungeon,0x00B501FF,9.94285,-189.897,0.005
"Mossy Cave (0x03FE)",dungeon,0x03FE0228,150.234,-211.5,3.98472
"Mossy Cave (20+)",dungeon,0x0177014F,30,-40,0
"Mount Elyrii Hive (70+)",dungeon,0x03A7010F,200,-10,-84
"Mount Ingot",dungeon,0x64480185,50,-32.766,-1.256
"Mount Lethe Magma Tubes",dungeon,0x0146029B,70,-20,0
"Mount Naipenset Caverns",dungeon,0x014701E9,10,-130,0
"Mountain Citadel",dungeon,0x61470152,140,-130,0
"Mountain Fortress (100+)",dungeon,0x011C030A,90,-200,0
"Mountain Halls",dungeon,0x019201A8,19.855,-29.907,0
"Mountain Keep",dungeon,0x01D202F7,47.9,-69.9,12
"Mountain Sewer (15+)",dungeon,0x01910213,99.986,-198.994,0
"Mud Cave",dungeon,0x02C1017E,138.298,-28.02,6.005
"Muggy Font",dungeon,0x017503D3,50,-50,0
"Muggy Guruk Caverns",dungeon,0x0077055C,30,-100,0.005
"Mukkir-Infested Black Spear Temple (151+)",dungeon,0x0076046B,91.533,-58.586,0.005
"Murk Warrens (Baishi)",dungeon,0x01000121,40,-260,0
"Murk Warrens (Stonehold)",dungeon,0x01020121,40,-260,0
"Murk Warrens (Zaikhal)",dungeon,0x01010121,40,-260,0
"Musansayn's Vaults",dungeon,0x01550198,20,-10,12
"Mutilator Tunnels (80+)",dungeon,0x667A0240,98.7361,-159.333,0
"Mysterious Cave (15+)",dungeon,0x014A0141,-1.21815,-47.6649,0.005
"Mysterious Tunnels (1-20)",dungeon,0x010C01DB,80,-70,0
"Nanjou Shou-jen Academy",dungeon,0x576602B8,390,-80,0.01
"Nanto Meeting Hall",dungeon,0x012A0126,30,-60,6
"Nanto Rat Lair",dungeon,0x015C0101,3.272,-32.811,0
"Nevius Passage (8+)",dungeon,0x014C0158,170,-170,0
"Nexus (100+)",dungeon,0x011002E1,40,-250,24
"Nor's Folly",dungeon,0x01070166,60,-30,0
"North Fork Dam Hive",dungeon,0x03A60102,51,-50,-42
"North Glenden Prison (80+)",dungeon,0x01E401FE,42,-14,6.005
"North Tumerok Vanguard Outpost (50+)",dungeon,0x02A50296,60,-680,6
"Northern Catacombs",dungeon,0x00D20535,120,-210,-11.995
"Northern Infiltrator Keep (25+)",dungeon,0x03A30201,70,-590,0
"Northern Power Forge (40+)",dungeon,0x00040100,0,-170,6.005
"Northern Temple Catacombs (100+)",dungeon,0x004E054A,40,-280,0.005
"Northwatch Castle",dungeon,0x9EE50293,104.166,30.0497,58.805
"Nuhmudira's Dungeon",dungeon,0x536D0289,149.243,-129.946,-5.995
"Nuhmudira's Mansion",dungeon,0xAC7A0151,58.86,77.605,-3.995
"Old Mine",dungeon,0x019001F3,18,-12.5,0
"Old Talisman Dungeon",dungeon,0x01EA041E,60,-60,54
"Old Warehouse",dungeon,0x0165015B,40,-20,0
"Olthoi Arcade (0x5D49)",dungeon,0x5D49014D,90,0,0.005
"Olthoi Arcade (Redspire)",dungeon,0x5B43041A,80,-7.5,0
"Olthoi Arcade Central",dungeon,0x5B440379,30,-10,-11.995
"Olthoi Brood Hive (20+, 0x5773)",dungeon,0x57730439,130,-110,0.005
"Olthoi Brood Hive (20+, Arwic)",dungeon,0x57720439,130,-110,0.005
"Olthoi Brood Hive (40+, 0x5E49)",dungeon,0x5E490435,18.8143,-12.6949,0.005
"Olthoi Brood Hive (40+, 0x5E4B)",dungeon,0x5E4B0435,18.8143,-12.6949,0.005
"Olthoi Brood Hive (60+, 0x5E48)",dungeon,0x5E48043D,30,0,0.005
"Olthoi Brood Hive (60+, 0x5E4A)",dungeon,0x5E4A043D,30,0,0.005
"Olthoi Brood Hive (80+, 0x584B)",dungeon,0x584B04F1,65.6376,-11.5578,0.005
"Olthoi Brood Hive (80+, 0x584C)",dungeon,0x584C04F1,65.6376,-11.5578,0.005
"Olthoi Chasm (20+)",dungeon,0x5D4A0342,70,-18.4296,0.005
"Olthoi Horde Nest (20+)",dungeon,0x02FB03B4,90,-650,0.005
"Olthoi Horde Nest (30+, 0x02FC)",dungeon,0x02FC03A6,90,-650,0.005
"Olthoi Horde Nest (30+, 0x02FD)",dungeon,0x02FD03A6,90,-650,0.005
"Olthoi Sanctuary",dungeon,0x00AA0269,39.5543,-27.4571,0.01
"Olthoi Tunnel",dungeon,0xC7EA0100,12,36,-0.904248
"Olthoi Tunnels (15+)",dungeon,0x018D01C5,60,-20,-17.995
"Olthoi Warrior Nest (70+)",dungeon,0x667801DC,30.02,-75.71,0
"Oriel Residential Halls",housing,0x565E0140,40,-70,0
"Origin Quarters",dungeon,0x586A01AA,540,-190,0.055
"Oubliette",dungeon,0x54620104,11.5,2.25,0
"Outer Courtyard (0x8004)",dungeon,0x800402C3,118.307,-141.996,0.005
"Outer Courtyard (0x8703)",dungeon,0x870302C3,118.717,-141.203,0.005
"Outer Courtyard (0x8C04)",dungeon,0x8C0402C3,118.717,-141.203,0.005
"Palenqual's Caverns",dungeon,0x028E0330,90,-70,0
"Panopticon (32+)",dungeon,0x02A10166,260,0,-36
"Paradox-Touched Olthoi Queen's Lair",dungeon,0xC7B7011B,-108.681,61.0247,96.4
"Path of Rage (180+)",dungeon,0x587903EA,229.987,-121.558,-17.8345
"Path of Sorrows (180+)",dungeon,0x58790255,180,-220,-29.895
"Path of the Blind (140+)",dungeon,0x002A034A,52.8552,-248.075,0.005
"Path of the Blind East (140+)",dungeon,0x00E1034A,52.8552,-248.075,0.005
"Path of the Blind West (140+)",dungeon,0x004B034A,52.8552,-248.075,0.005
"Path of Torment (180+)",dungeon,0x5879052B,130,-110.381,0.005
"Penguin Cave Hatchery (90+)",dungeon,0x01CB0360,4.058,-43.933,66.005
"Penguin Den",dungeon,0x02DD019B,100.09,-229.548,0.005
"Pheraion's Sanctum (120+)",dungeon,0x0083026E,20,-360,0.005
"Phyntos Menace",dungeon,0x0143010A,0,-80,0
"Planar Academy Headmaster's Rooms",dungeon,0x00D60430,60,-66.4038,60.005
"Planar Academy Lecture Hall",dungeon,0x00D603F9,60,-126.703,48.005
"Plated Rifts (75+)",dungeon,0x5B49027E,180.208,-103.516,0.005
"Platinum Legion Keep (100+)",dungeon,0x001A017A,190,-70,0.005
"Presk's Bunker (180+)",dungeon,0x59510139,190,-220,0.055
"Presk's Treasury",dungeon,0x5951010F,70,-100,0.005
"Prismatic Devastation",dungeon,0x58530109,20,-10,0.005
"Prismatic Guardian Lair (150+)",dungeon,0x5850014A,47.9531,-2.36641,6.005
"Prismatic Ziggurat (150+)",dungeon,0x58510104,20,-20,0.005
"Private Chambers",dungeon,0x654D04DA,90,-120,0.01
"Prodigal Shadow Child's Lair",dungeon,0x00E60422,190,-50,0.005
"Proving Grounds Extreme (0x5A4401A0)",dungeon,0x5A4401A0,20,-108,0.005
"Proving Grounds Extreme (0x5A4401D5)",dungeon,0x5A4401D5,110,-130,0.005
"Proving Grounds Extreme (0x5A4401E9)",dungeon,0x5A4401E9,20,-33.2,6.7
"Proving Grounds High (0x594401A0)",dungeon,0x594401A0,30,-108,0.005
"Proving Grounds High (0x594401D5)",dungeon,0x594401D5,110,-130,0.005
"Proving Grounds High (0x594401E9)",dungeon,0x594401E9,20,-33.2,6.7
"Proving Grounds Low (0x574401A0)",dungeon,0x574401A0,30,-108,0.005
"Proving Grounds Low (0x574401D5)",dungeon,0x574401D5,110,-130,0.005
"Proving Grounds Low (0x574401E9)",dungeon,0x574401E9,20,-33.2,6.7
"Proving Grounds Mid (0x584401A0)",dungeon,0x584401A0,30,-108,0.005
"Proving Grounds Mid (0x584401D5)",dungeon,0x584401D5,110,-130,0.005
"Proving Grounds Mid (0x584401E9)",dungeon,0x584401E9,20,-33.2,6.7
"Proving Grounds Uber (0x5852019F)",dungeon,0x5852019F,30.0173,-110.481,0.005
"Proving Grounds Uber (0x585201DA)",dungeon,0x585201DA,110.062,-131.85,0.005
"Proving Grounds Uber (0x585201F4)",dungeon,0x585201F4,20.0338,-33.2001,6.005
"Qalaba'r Meeting Hall",dungeon,0x012B0126,30,-60,6
"Queen's Quarters",dungeon,0x586B02FC,238,-298,0.01
"Queen's Treasury",dungeon,0x586B0106,210,-10,-59.91
"Radiant Blood Gauntlet (180+)",dungeon,0x596B010F,120,-10,0.005
"Radiant Blood Stronghold (180+)",dungeon,0x00B90294,110,-20,0.005
"Rampage Bluff (80+)",dungeon,0x5C48011E,60.1817,-5.89785,0.005
"Ravaged Cathedral (100+)",dungeon,0x001601CA,12.2668,-59.989,12.005
"Ravenous Vault (110+)",dungeon,0x039D02A4,99.8339,-48.9272,48.005
"Realaidain Eastern Vault",dungeon,0x005001E9,480,-330,0.006
"Realaidain Northern Vault",dungeon,0x005003B5,240,-467,12.006
"Realaidain Western Vault",dungeon,0x00500173,30,-700,0.006
"Reaving Facility",dungeon,0x3FB10175,276,-229,-39.595
"Recovered Temple",dungeon,0x0142017F,50,-60,6
"Reedshark Clan Training Camp",dungeon,0x577A036C,140,-200,0.005
"ReedShark Lair (4+)",dungeon,0x01FC0114,18.9,-58.9,0
"Reinforced Royal Vault",dungeon,0x001302D6,0,-10,0.005
"Reinforced Vault Sewers",dungeon,0x000E02EE,110,0,0.005
"Remote Empyrean Vault (40+)",dungeon,0x000102C6,60,0,0.005
"Renegade Fortress (0x00CC)",dungeon,0x00CC0101,30.088,-65.7754,-23.995
"Renegade Fortress (0x6248)",dungeon,0x624803E8,90,-190.593,0.005
"Renegade Garrison (40+)",dungeon,0x60490326,50,-112.929,0.1
"Renegade Incursion (50+)",dungeon,0x003001A7,1.39887,-127.964,0.005
"Repository (125+)",dungeon,0x0047039C,60,-228.903,0.004999
"Research Chambers Conveyance",dungeon,0x644303AD,70,-180,0.005
"Ridge Citadel",dungeon,0x02F10152,140,-130,0
"Rithwic Crypt",dungeon,0x01CD0144,39.87,-52.8,0
"Rithwic Meeting Hall",dungeon,0x012C0126,30,-60,6
"Rocky Crypt (10+)",dungeon,0x01B50101,3.1913,-70,0.005
"Rogue Delvings (180+)",dungeon,0x00E001A0,160,-220,0.005
"Roots of Skuld, Urd and Verdandi",dungeon,0x24C0067C,-24.627,33.5271,142.4
"Roots of the Deru Tree",dungeon,0x00A8010F,44.142,0.003581,-59.99
"Rossu Morta Chapterhouse",dungeon,0x00800128,80,-10,0.005
"Royal Hive",dungeon,0x02880280,90,-20,-12
"Ruadnar Court",housing,0x536401D9,83.74,-93.75,0
"Ruined Cave Outpost",dungeon,0x0152024B,58.7,-88.7,0
"Ruined Empyrean Vault (70+)",dungeon,0x01940119,80,-40,0.005
"Rumuba's Hidey-Hole",dungeon,0x02B802B3,200,-270,7
"Ruschk Burial Mound",dungeon,0x00E202FA,80,-20,0.005
"Ruschk Iceberg (70+)",dungeon,0x02DE02BE,160.005,-279.729,0.005
"Ruschk Icehold (80+)",dungeon,0x001D012F,170,-18,0.005
"Rynthid Foundry (180+)",dungeon,0x58760207,220,-130,7.5
"Rynthid Genesis (180+)",dungeon,0x58750294,180,-109.111,6.5
"Saadia's Retreat",dungeon,0x013F01C5,10,-60,6
"Samsur Meeting Hall",dungeon,0x012D0126,30,-60,6
"Samurai Hausu",dungeon,0x586401F7,140,-14.809,0.105
"Sanctuary of the Recluse (180+)",dungeon,0x586601D1,314.996,-222.037,0.05
"Sanctum Residential Halls",housing,0x54650140,40,-70,0
"Sand Caves",dungeon,0x5760047D,150.03,-68.1271,23.006
"Sand Shallow",dungeon,0x02A002F5,290,-340,0
"Sawato Meeting Hall",dungeon,0x012E0126,30,-60,6
"Sclavus Cathedral (0x02F6)",dungeon,0x02F603FA,110,-320,0
"Sclavus Cathedral (0x02F7)",dungeon,0x02F703FA,110,-320,0
"Sclavus Keep",dungeon,0x01860247,70,-90,6
"Sclavus Temple",dungeon,0x604A036C,60,-50,-11.995
"Sclavus Umbral Forge",dungeon,0x00E3040C,60,-770,0.005
"Sea Temple Catacombs",dungeon,0x0156018F,49.1,-61.9,0
"Seaside Lair",dungeon,0x01B0011C,37.8,-57.5,1
"Secret Putiputi Place",dungeon,0x57740112,0.928162,-0.856308,6.005
"Secured Royal Vault",dungeon,0x001202D6,0,-10,0.005
"Secured Vault Sewers",dungeon,0x000D02EE,110,0,0.005
"Seed of Anger (180+)",dungeon,0x5873019E,140,-110,12
"Seed of Hatred (180+)",dungeon,0x58710202,180,-130,0.05
"Seed of Misery (180+)",dungeon,0x58720120,20,-150,0.05
"Senmai Court",housing,0x536501D9,83.74,-93.75,0
"Serac Vault",dungeon,0x01170140,-1.6,-100,-18
"Serpent Burial Grounds (150+)",dungeon,0x584E025C,129.98,-246.16,0.01
"Serpent Clan Training Camp",dungeon,0x5778030A,11.1162,-80.074,6.005
"Setab's Barracks",dungeon,0x010601AF,0,-10,6
"Setera Gardens",housing,0x96000161,83.74,-93.75,0
"Shade Iron Mine",dungeon,0x005303B0,0,-10,0.005
"Shadow-Infested Black Spear Temple (101-150)",dungeon,0x00750473,91.533,-58.586,0.005
"Shadowy Refuge (150+)",dungeon,0x576E0187,80,-30,0.01
"Shallow Olthoi Chasm",dungeon,0x5D4B0146,84.1436,-0.1,0.005
"Shendolain Vestibule (60+)",dungeon,0x02E00461,50,-20,-30
"Shoushi Grotto",dungeon,0x01F701ED,40,-140,0
"Shoushi Meeting Hall",dungeon,0x012F0126,30,-60,6
"Shreth Clan Training Camp",dungeon,0x577902E3,70,-90,-5.995
"Shreth Hive",dungeon,0x015302E8,45.7,-43,-18
"Sigil Veranda",housing,0x536601D9,83.74,-93.75,0
"Silver Legion Keep (65+)",dungeon,0x001B016E,80,-10,0.005
"Silyun Chapterhouse (80+)",dungeon,0x005201C9,40,0,0.005
"Simple Tower",dungeon,0x019D0118,40.73,-29.92,0
"Singular Chorizite Repository (35+)",dungeon,0x03A0027F,90,-540,0
"Singular Obsidian Repository (45+)",dungeon,0x039F02F1,220,-330,18
"Singular Pyreal Repository (24+)",dungeon,0x03A102B6,90,-600,0
"Singularity Bore (50+)",dungeon,0x02910388,210,-120,6
"Slithis Pit",dungeon,0x02C30289,140,-40,0
"Small Complex (40+)",dungeon,0x01C00122,6.29,-56.63,0
"Small Empyrean Vault (30+)",dungeon,0x01FE02CB,177.048,-176.394,0
"Small Icecave",dungeon,0x01E60250,140,-190,6.1
"Small Mnemosyne Collection Site",dungeon,0x029D0106,50,-50,0
"Small Ruin",dungeon,0x02BD01A0,40,-50,12
"Small Temple (0x02BE)",dungeon,0x02BE011D,50,-50,0
"Small Temple (0x02BF)",dungeon,0x02BF011D,50,-50,0
"Small Temple (0x02C0)",dungeon,0x02C0011D,50,-50,0
"Smugglers Hideaway",dungeon,0x014E025C,190,-10,0
"Sorac Gate",housing,0x7C000161,83.74,-93.75,0
"Sorveya Court",housing,0x536701D9,83.74,-93.75,0
"Sotiris (30+)",dungeon,0x02C90280,120,-250,0
"Soul Hunter's Chambers",dungeon,0x007C02C1,120,-100,0.005
"South Tumerok Vanguard Outpost (50+)",dungeon,0x02A40110,60,-20,-12
"Southern Infiltrator Keep (25+)",dungeon,0x03A2025E,310,-10,12
"Southern Power Forge (70+)",dungeon,0x00050100,0,-170,6.005
"Spirit Cell",dungeon,0x564A010D,9.81431,-58.5473,0.005
"Spirit Gate",housing,0x97000161,83.74,-93.75,0
"Spirited Halls (180+)",dungeon,0x5878030A,260,-500,0.05
"Stable Rift (20+)",dungeon,0x029002C9,50,0,0
"Steaming Hovel",dungeon,0x039B0177,30,-40,6
"Steamy Font",dungeon,0x019803D3,50,-50,0
"Steamy Guruk Caverns",dungeon,0x0079055C,30,-100,0.005
"Stinging Corner (180+)",dungeon,0x586503B9,320,-350,0.005
"Stone Cathedral",dungeon,0x0154017E,30,-10,-6
"Stone Fists",dungeon,0x00B60114,40,-43,-11.995
"Strange Swamp Temple",dungeon,0x008603AC,70,-67.7263,6.005
"Strange Tunnel",dungeon,0x02AB0160,110,-10,0
"Stronghold (0x00B7)",dungeon,0x00B7010D,81.1415,-22.509,-24
"Stronghold (0x00B8)",dungeon,0x00B8010D,80,-23.2928,-24
"Subterannean Farm",dungeon,0x6345020B,217.088,-89.2411,0.005
"Sultry Hovel",dungeon,0x0114018C,52.8694,-1.26897,0
"Summoning Chamber",dungeon,0x007F018A,250,-310,-29.995
"Swamp Cavern",dungeon,0x009D02DA,95.841,-80,0.005
"Swamp Gardens",dungeon,0x028F013C,10,-20,0
"Swamp Ruin",dungeon,0x01C50138,39.87,-3.15,-5.99
"Swamp Temple (0x019C)",dungeon,0x019C02A7,100,-40,0
"Swamp Temple (0x01A2)",dungeon,0x01A2045D,70,-70,0
"Syliph Tower",dungeon,0x01D501C0,39.093,-13.057,66
"Sylsfear Dungeon (10+)",dungeon,0x01D70277,59.8,-136.9,0
"Sylvan Dwellings",housing,0x536801D9,83.74,-93.75,0
"Syrah Dwellings",housing,0x80000161,83.74,-93.75,0
"Tainted Grotto",dungeon,0x634C03D3,43.3208,-109.827,6.005
"Tanada House of Breath",dungeon,0x007B0165,230,-200,0.005
"Tanada House of Earth",dungeon,0x005701AD,440,-200,0.005
"Tanada House of Metal",dungeon,0x0057011D,40,-200,0.005
"Tanada House of Stone",dungeon,0x00570165,230,-200,0.005
"Tanada House of Storms (80+)",dungeon,0x007B011D,40,-200,0.005
"Tanada House of Water (80+)",dungeon,0x009E0218,110,-380,0.005
"Tanada House of Wind",dungeon,0x007B01AD,440,-200,0.005
"Tanada Temple of Black Water",dungeon,0x00CD0159,70,-240,-17.995
"Tanada Toresen Temple (200+)",dungeon,0x6757027B,170,-170,0.01
"Temple",dungeon,0x57560161,95.0624,-112.097,0.01
"Temple East Wing",dungeon,0x00450415,232,-420,0.005
"Temple North Wing",dungeon,0x00450322,60,-278,0.004999
"Temple of Mornings",dungeon,0x8A630290,-64,159.271,-49.595
"Temple of the Black Spear (130+)",dungeon,0x004F0343,79.9201,-34.2535,0.005
"Temple of the Font (275+)",dungeon,0x596B012C,9.95987,-130.005,6.005
"Temple of the Stirring Shadow (80+)",dungeon,0x004502C2,40,-420,0.006
"Temple of the Three",dungeon,0x00E50734,70,-300,0.005
"Temple of the Three, Ritual Chambers",dungeon,0x00E401DE,30,-100,0.005
"Temple of Tthuun",dungeon,0x00DF02B9,119.766,-90.3525,-5.995
"Temple of Xik Minru",dungeon,0x00F00143,20,-140,0.005
"Temple South Wing",dungeon,0x0045032A,60,-572,0.005
"Temple Trial",dungeon,0x594E0670,120,-170,-11.99
"Tenkarrdun Foundry",dungeon,0x0116042F,71.28,-114,-5.995
"Thasali",dungeon,0x01C40119,30,-110,0
"The Asteliary (35+)",dungeon,0x03A40131,30,-10,-6
"The Callous Heart High Grounds",dungeon,0x545D024F,80,-40,6
"The Callous Heart Left Wing",dungeon,0x545D025A,140,-290,6.94506
"The Callous Heart Right Wing",dungeon,0x545D024D,69.9847,-310,6.45622
"The Colosseum",dungeon,0x00AF0118,40,-13.1651,0.005
"The Dark Lair",dungeon,0x0283015A,10.2,-3.8,0
"The Dark Spiral (126+)",dungeon,0x00CF055F,68.4116,-97.5995,0.005
"The Envoy's Chamber",dungeon,0x029A01F1,170,-220,0
"The Fazenda Caves",dungeon,0x003402A2,120,-240,0.005
"The Floating City (0x02CB)",dungeon,0x02CB011F,10,-10,0
"The Floating City (0x02CC)",dungeon,0x02CC010A,40,-40,0
"The Floating City (0x02CD)",dungeon,0x02CD014F,70,-100,-24
"The Floating City (0x02CE)",dungeon,0x02CE0140,10,-10,0
"The Floating City (0x02CF)",dungeon,0x02CF019D,30,-70,18
"The Floating City (0x02D1)",dungeon,0x02D101EE,60,-60,0
"The Marketplace of Dereth",dungeon,0x016C01BC,49.206,-31.935,0.005
"The Pit Dungeon",dungeon,0x01A302F3,39.685,-20.631,0
"The pyramid (125+, 0x00CB0100)",dungeon,0x00CB0100,0,0,-29.995
"The pyramid (125+, 0x00CB016E)",dungeon,0x00CB016E,160,-210,-29.995
"The pyramid (125+, 0x00CB01DC)",dungeon,0x00CB01DC,290.007,-10.8738,-29.995
"The Shadows",dungeon,0x7E020325,81.3159,-193.399,84.005
"Thief Trail (7+)",dungeon,0x01BB0155,60.26,-10.54,0
"Thieves' Den",dungeon,0x01E10272,88.46,-69.724,0
"Thieves' Galleries (5+)",dungeon,0x0149017B,70,-30,0
"Throne of the Tusker King",dungeon,0x5F4401A7,230.034,-136.066,0.005
"Thrungal Den (100+)",dungeon,0x006502BA,119.957,-10.747,0.005
"Thrungus Hole",dungeon,0x002902E7,264.295,-126.941,0.005
"Tiny Hive (35+)",dungeon,0x028902A5,110,-20,-30
"Tomb of The Dead",dungeon,0x01F301C6,130,-90,0
"Top of Zabool Tower",dungeon,0x01D301BA,3.68,-9,120
"Tower Base Dungeon (115+)",dungeon,0x56470103,68.5845,-89.9727,0.005
"Town Network",dungeon,0x00070145,70,-80,0.005
"Treacherous Tunnels",dungeon,0x02C502CC,161.5,-86.8,0
"Trellyn Gardens",housing,0x84000161,83.74,-93.75,0
